time,phase,predicted_emotion,predicted_emotion_2nd,sport
1486336092.0,1,27,0,Football
1486336925.0,1,27,0,Football
1486333640.0,1,2,3,Football
1486335419.0,1,3,27,Football
1486331462.0,1,7,27,Football
1486333894.0,1,7,27,Football
1486336453.0,1,27,0,Football
1486337078.0,1,2,3,Football
1486337124.0,1,1,10,Football
1486337215.0,1,7,27,Football
1486337330.0,1,27,0,Football
1486337469.0,1,21,23,Football
1486336653.0,1,3,2,Football
1486336966.0,1,3,11,Football
1486337066.0,1,27,22,Football
1486337188.0,1,22,9,Football
1486337453.0,1,3,27,Football
1486332872.0,1,27,7,Football
1486334331.0,1,27,3,Football
1486335224.0,1,3,9,Football
1486336330.0,1,3,2,Football
1486332474.0,1,26,13,Football
1486333575.0,1,4,17,Football
1486335349.0,1,7,6,Football
1486335846.0,1,8,27,Football
1486336246.0,1,18,17,Football
1486337026.0,1,27,22,Football
1486337027.0,1,27,4,Football
1486337072.0,1,27,3,Football
1486337094.0,1,27,0,Football
1486337100.0,1,27,4,Football
1486337303.0,1,4,0,Football
1486337359.0,1,7,6,Football
1486337366.0,1,27,20,Football
1486337460.0,1,7,27,Football
1486337658.0,1,27,4,Football
1486338181.0,1,27,4,Football
1486335373.0,1,27,10,Football
1486336154.0,1,1,4,Football
1486332382.0,1,27,20,Football
1486332985.0,1,26,7,Football
1486335206.0,1,27,4,Football
1486335298.0,1,27,14,Football
1486335921.0,1,27,22,Football
1486336457.0,1,27,20,Football
1486336521.0,1,6,7,Football
1486336631.0,1,27,22,Football
1486337159.0,1,1,3,Football
1486337338.0,1,27,4,Football
1486337544.0,1,13,1,Football
1486337635.0,1,27,3,Football
1486338829.0,1,26,22,Football
1486331122.0,1,27,4,Football
1486335410.0,1,27,10,Football
1486331216.0,1,27,4,Football
1486338911.0,1,27,10,Football
1486333056.0,1,6,22,Football
1486333470.0,1,20,27,Football
1486334336.0,1,27,10,Football
1486334835.0,1,0,26,Football
1486334857.0,1,0,27,Football
1486334882.0,1,27,3,Football
1486335158.0,1,12,11,Football
1486335292.0,1,27,22,Football
1486335645.0,1,27,3,Football
1486336200.0,1,4,0,Football
1486336353.0,1,7,27,Football
1486336748.0,1,4,27,Football
1486336776.0,1,3,22,Football
1486337039.0,1,6,7,Football
1486337078.0,1,27,9,Football
1486337133.0,1,27,4,Football
1486337418.0,1,27,10,Football
1486337432.0,1,27,6,Football
1486337590.0,1,1,3,Football
1486337657.0,1,27,3,Football
1486337788.0,1,27,9,Football
1486332277.0,1,27,0,Football
1486336463.0,1,27,3,Football
1486337201.0,1,4,27,Football
1486331614.0,1,27,17,Football
1486333754.0,1,27,6,Football
1486337034.0,1,27,3,Football
1486332729.0,1,22,27,Football
1486333538.0,1,15,27,Football
1486334751.0,1,11,27,Football
1486334814.0,1,27,7,Football
1486334845.0,1,12,27,Football
1486335235.0,1,27,3,Football
1486335277.0,1,3,2,Football
1486335528.0,1,0,18,Football
1486335728.0,1,7,6,Football
1486335837.0,1,9,22,Football
1486336146.0,1,22,27,Football
1486336220.0,1,3,27,Football
1486336431.0,1,27,25,Football
1486336494.0,1,27,3,Football
1486336774.0,1,3,7,Football
1486337048.0,1,26,27,Football
1486337065.0,1,27,3,Football
1486337068.0,1,27,4,Football
1486337090.0,1,2,10,Football
1486337099.0,1,27,25,Football
1486337099.0,1,1,17,Football
1486337123.0,1,4,0,Football
1486337128.0,1,7,26,Football
1486337129.0,1,1,27,Football
1486337136.0,1,27,15,Football
1486337159.0,1,0,27,Football
1486337193.0,1,7,27,Football
1486337204.0,1,3,9,Football
1486337218.0,1,5,20,Football
1486337268.0,1,8,20,Football
1486337274.0,1,0,27,Football
1486337283.0,1,2,6,Football
1486337353.0,1,0,9,Football
1486337355.0,1,0,26,Football
1486337424.0,1,4,27,Football
1486337448.0,1,7,6,Football
1486337465.0,1,27,4,Football
1486337524.0,1,27,4,Football
1486337544.0,1,27,0,Football
1486337570.0,1,27,3,Football
1486337605.0,1,27,17,Football
1486337608.0,1,27,22,Football
1486337643.0,1,27,20,Football
1486337774.0,1,7,27,Football
1486337835.0,1,15,23,Football
1486338533.0,1,13,0,Football
1486338866.0,1,3,4,Football
1486333981.0,1,27,22,Football
1486336000.0,1,27,3,Football
1486337116.0,1,10,27,Football
1486337432.0,1,20,8,Football
1486336484.0,1,27,4,Football
1486337430.0,1,0,4,Football
1486337434.0,1,27,10,Football
1486337679.0,1,27,7,Football
1486331440.0,1,27,4,Football
1486332658.0,1,27,22,Football
1486334125.0,1,27,3,Football
1486334308.0,1,27,3,Football
1486334382.0,1,27,4,Football
1486334477.0,1,27,7,Football
1486334769.0,1,2,27,Football
1486334777.0,1,27,9,Football
1486334788.0,1,3,13,Football
1486334865.0,1,1,17,Football
1486334996.0,1,27,22,Football
1486335232.0,1,6,7,Football
1486335299.0,1,10,9,Football
1486335552.0,1,26,13,Football
1486335666.0,1,0,26,Football
1486335847.0,1,27,4,Football
1486335848.0,1,0,4,Football
1486335884.0,1,1,27,Football
1486335963.0,1,2,3,Football
1486335973.0,1,27,25,Football
1486336094.0,1,27,0,Football
1486336111.0,1,0,17,Football
1486336325.0,1,7,13,Football
1486336333.0,1,7,6,Football
1486336369.0,1,2,11,Football
1486336391.0,1,27,25,Football
1486336403.0,1,1,27,Football
1486336408.0,1,4,27,Football
1486336450.0,1,7,27,Football
1486336463.0,1,2,27,Football
1486336500.0,1,0,27,Football
1486336539.0,1,7,6,Football
1486336557.0,1,27,22,Football
1486336606.0,1,22,26,Football
1486336667.0,1,27,7,Football
1486336673.0,1,7,8,Football
1486336728.0,1,27,1,Football
1486336759.0,1,7,26,Football
1486336774.0,1,9,25,Football
1486336785.0,1,27,8,Football
1486336833.0,1,20,13,Football
1486336885.0,1,0,2,Football
1486336902.0,1,7,8,Football
1486336906.0,1,3,11,Football
1486336936.0,1,17,0,Football
1486337004.0,1,27,7,Football
1486337008.0,1,27,22,Football
1486337048.0,1,27,7,Football
1486337057.0,1,8,20,Football
1486337075.0,1,6,27,Football
1486337105.0,1,0,27,Football
1486337131.0,1,3,27,Football
1486337159.0,1,8,9,Football
1486337165.0,1,27,9,Football
1486337294.0,1,10,3,Football
1486337300.0,1,27,0,Football
1486337305.0,1,27,7,Football
1486337351.0,1,27,20,Football
1486337367.0,1,7,6,Football
1486337382.0,1,27,9,Football
1486337390.0,1,27,22,Football
1486337411.0,1,6,27,Football
1486337432.0,1,27,22,Football
1486337440.0,1,7,27,Football
1486337442.0,1,27,15,Football
1486337496.0,1,4,7,Football
1486337501.0,1,9,25,Football
1486337529.0,1,1,3,Football
1486337532.0,1,2,3,Football
1486337549.0,1,0,4,Football
1486337632.0,1,27,20,Football
1486337668.0,1,27,7,Football
1486337692.0,1,27,3,Football
1486337692.0,1,27,4,Football
1486337694.0,1,27,26,Football
1486337731.0,1,0,13,Football
1486337771.0,1,0,3,Football
1486338053.0,1,9,27,Football
1486338220.0,1,1,27,Football
1486349585.0,1,27,4,Football
1486336470.0,1,27,0,Football
1486337608.0,1,27,0,Football
1486333447.0,1,27,0,Football
1486335386.0,1,27,3,Football
1486331533.0,1,3,20,Football
1486337268.0,1,15,3,Football
1486337471.0,1,27,22,Football
1486331252.0,1,27,6,Football
1486337065.0,1,27,26,Football
1486337519.0,1,25,1,Football
1486337706.0,1,27,3,Football
1486337743.0,1,0,17,Football
1486335449.0,1,3,2,Football
1486337439.0,1,3,27,Football
1486332613.0,1,6,7,Football
1486333443.0,1,27,3,Football
1486333528.0,1,18,0,Football
1486333560.0,1,2,10,Football
1486333752.0,1,27,4,Football
1486334209.0,1,7,6,Football
1486334438.0,1,7,26,Football
1486334483.0,1,27,22,Football
1486334696.0,1,27,10,Football
1486334717.0,1,27,3,Football
1486334768.0,1,4,17,Football
1486334782.0,1,8,13,Football
1486334836.0,1,11,27,Football
1486334885.0,1,0,17,Football
1486334981.0,1,27,20,Football
1486335053.0,1,27,0,Football
1486335160.0,1,27,7,Football
1486335244.0,1,27,7,Football
1486335307.0,1,1,17,Football
1486335403.0,1,27,4,Football
1486335679.0,1,27,3,Football
1486335683.0,1,3,11,Football
1486335795.0,1,18,25,Football
1486335799.0,1,27,4,Football
1486335846.0,1,27,7,Football
1486335915.0,1,2,3,Football
1486335978.0,1,7,27,Football
1486336018.0,1,27,7,Football
1486336051.0,1,27,3,Football
1486336060.0,1,0,18,Football
1486336191.0,1,0,27,Football
1486336229.0,1,9,27,Football
1486336308.0,1,27,7,Football
1486336393.0,1,27,0,Football
1486336433.0,1,0,3,Football
1486336520.0,1,0,18,Football
1486336555.0,1,6,27,Football
1486336631.0,1,27,10,Football
1486336652.0,1,27,4,Football
1486336658.0,1,18,4,Football
1486336713.0,1,22,27,Football
1486336723.0,1,3,9,Football
1486336736.0,1,27,0,Football
1486336738.0,1,27,6,Football
1486336743.0,1,1,27,Football
1486336780.0,1,1,27,Football
1486336798.0,1,27,13,Football
1486336803.0,1,20,5,Football
1486336809.0,1,3,27,Football
1486336812.0,1,27,6,Football
1486336819.0,1,26,2,Football
1486336831.0,1,27,3,Football
1486336861.0,1,27,3,Football
1486336874.0,1,27,4,Football
1486336875.0,1,27,3,Football
1486337042.0,1,27,6,Football
1486337064.0,1,1,3,Football
1486337078.0,1,27,3,Football
1486337093.0,1,27,4,Football
1486337094.0,1,10,3,Football
1486337117.0,1,27,0,Football
1486337119.0,1,27,4,Football
1486337151.0,1,1,27,Football
1486337159.0,1,27,0,Football
1486337163.0,1,7,2,Football
1486337183.0,1,27,13,Football
1486337227.0,1,27,7,Football
1486337242.0,1,27,10,Football
1486337298.0,1,4,0,Football
1486337309.0,1,27,13,Football
1486337319.0,1,11,27,Football
1486337330.0,1,27,20,Football
1486337349.0,1,27,11,Football
1486337370.0,1,7,27,Football
1486337382.0,1,22,9,Football
1486337423.0,1,27,13,Football
1486337425.0,1,27,4,Football
1486337438.0,1,3,2,Football
1486337439.0,1,7,27,Football
1486337442.0,1,27,3,Football
1486337511.0,1,3,2,Football
1486337524.0,1,25,9,Football
1486337549.0,1,27,4,Football
1486337553.0,1,7,27,Football
1486337576.0,1,27,3,Football
1486337576.0,1,27,7,Football
1486337585.0,1,2,3,Football
1486337604.0,1,3,5,Football
1486337650.0,1,2,3,Football
1486337655.0,1,0,3,Football
1486337682.0,1,17,0,Football
1486337688.0,1,27,6,Football
1486337697.0,1,14,19,Football
1486337701.0,1,27,20,Football
1486337704.0,1,2,11,Football
1486337719.0,1,27,2,Football
1486337719.0,1,27,3,Football
1486337778.0,1,6,27,Football
1486338083.0,1,20,27,Football
1486338165.0,1,27,4,Football
1486338177.0,1,27,3,Football
1486338570.0,1,3,2,Football
1486350815.0,1,13,27,Football
1486353496.0,1,27,15,Football
1486335448.0,1,4,27,Football
1486335503.0,1,8,27,Football
1486335586.0,1,0,22,Football
1486336463.0,1,2,11,Football
1486337094.0,1,27,4,Football
1486337437.0,1,27,3,Football
1486331722.0,1,13,18,Football
1486335400.0,1,18,17,Football
1486337495.0,1,3,27,Football
1486331407.0,1,27,17,Football
1486335262.0,1,3,2,Football
1486337417.0,1,3,2,Football
1486337396.0,1,10,27,Football
1486337456.0,1,27,7,Football
1486337126.0,1,11,9,Football
1486331528.0,1,27,4,Football
1486333786.0,1,7,27,Football
1486334022.0,1,27,7,Football
1486335206.0,1,0,27,Football
1486335217.0,1,3,9,Football
1486335296.0,1,27,0,Football
1486336521.0,1,3,9,Football
1486337175.0,1,27,4,Football
1486337451.0,1,27,6,Football
1486337713.0,1,3,27,Football
1486337125.0,1,11,2,Football
1486331141.0,1,27,3,Football
1486331762.0,1,6,22,Football
1486332260.0,1,0,26,Football
1486332315.0,1,20,4,Football
1486332370.0,1,27,22,Football
1486333368.0,1,27,13,Football
1486333769.0,1,3,27,Football
1486333797.0,1,27,9,Football
1486334357.0,1,3,27,Football
1486334612.0,1,27,0,Football
1486334686.0,1,9,0,Football
1486334718.0,1,27,4,Football
1486334727.0,1,3,2,Football
1486334747.0,1,7,8,Football
1486334779.0,1,27,2,Football
1486334909.0,1,11,10,Football
1486334941.0,1,7,27,Football
1486334947.0,1,17,13,Football
1486335030.0,1,9,22,Football
1486335033.0,1,11,27,Football
1486335040.0,1,27,13,Football
1486335138.0,1,20,4,Football
1486335189.0,1,27,22,Football
1486335229.0,1,27,26,Football
1486335317.0,1,27,26,Football
1486335386.0,1,2,13,Football
1486335614.0,1,27,4,Football
1486335659.0,1,27,3,Football
1486335663.0,1,27,0,Football
1486335683.0,1,27,0,Football
1486335687.0,1,27,3,Football
1486335687.0,1,22,27,Football
1486335697.0,1,27,4,Football
1486335723.0,1,25,9,Football
1486335779.0,1,27,4,Football
1486335810.0,1,18,13,Football
1486335822.0,1,27,3,Football
1486335855.0,1,7,6,Football
1486335885.0,1,7,27,Football
1486335906.0,1,27,20,Football
1486335911.0,1,27,4,Football
1486335925.0,1,27,4,Football
1486336056.0,1,1,3,Football
1486336077.0,1,27,7,Football
1486336099.0,1,27,11,Football
1486336223.0,1,2,27,Football
1486336271.0,1,25,26,Football
1486336282.0,1,27,4,Football
1486336314.0,1,7,26,Football
1486336402.0,1,27,17,Football
1486336408.0,1,2,3,Football
1486336417.0,1,27,4,Football
1486336450.0,1,17,13,Football
1486336482.0,1,7,6,Football
1486336505.0,1,3,23,Football
1486336545.0,1,27,7,Football
1486336594.0,1,2,11,Football
1486336635.0,1,11,3,Football
1486336640.0,1,27,1,Football
1486336642.0,1,27,20,Football
1486336643.0,1,27,26,Football
1486336664.0,1,27,3,Football
1486336668.0,1,27,13,Football
1486336686.0,1,27,4,Football
1486336720.0,1,6,7,Football
1486336723.0,1,3,9,Football
1486336728.0,1,27,4,Football
1486336747.0,1,18,0,Football
1486336761.0,1,27,0,Football
1486336778.0,1,27,7,Football
1486336779.0,1,27,13,Football
1486336790.0,1,7,27,Football
1486336792.0,1,6,10,Football
1486336796.0,1,27,2,Football
1486336802.0,1,2,3,Football
1486336817.0,1,4,27,Football
1486336845.0,1,2,11,Football
1486336878.0,1,10,0,Football
1486336924.0,1,27,0,Football
1486336940.0,1,7,26,Football
1486336954.0,1,27,2,Football
1486337006.0,1,27,3,Football
1486337024.0,1,7,27,Football
1486337025.0,1,27,6,Football
1486337029.0,1,7,6,Football
1486337038.0,1,27,20,Football
1486337049.0,1,27,11,Football
1486337055.0,1,27,20,Football
1486337103.0,1,17,27,Football
1486337107.0,1,27,10,Football
1486337108.0,1,27,7,Football
1486337113.0,1,27,26,Football
1486337124.0,1,27,4,Football
1486337125.0,1,27,0,Football
1486337132.0,1,10,9,Football
1486337145.0,1,27,13,Football
1486337147.0,1,1,27,Football
1486337151.0,1,27,3,Football
1486337162.0,1,7,3,Football
1486337163.0,1,4,0,Football
1486337178.0,1,27,4,Football
1486337181.0,1,27,4,Football
1486337186.0,1,3,2,Football
1486337187.0,1,27,3,Football
1486337190.0,1,4,27,Football
1486337194.0,1,27,17,Football
1486337203.0,1,7,27,Football
1486337206.0,1,27,25,Football
1486337217.0,1,27,4,Football
1486337217.0,1,27,4,Football
1486337220.0,1,27,4,Football
1486337242.0,1,25,9,Football
1486337245.0,1,0,20,Football
1486337250.0,1,27,0,Football
1486337259.0,1,15,20,Football
1486337267.0,1,0,17,Football
1486337267.0,1,27,4,Football
1486337268.0,1,0,4,Football
1486337270.0,1,27,17,Football
1486337289.0,1,2,27,Football
1486337290.0,1,4,27,Football
1486337290.0,1,0,4,Football
1486337296.0,1,27,4,Football
1486337304.0,1,0,4,Football
1486337309.0,1,7,27,Football
1486337311.0,1,22,9,Football
1486337319.0,1,27,4,Football
1486337331.0,1,27,0,Football
1486337334.0,1,27,13,Football
1486337357.0,1,2,3,Football
1486337364.0,1,27,3,Football
1486337426.0,1,3,2,Football
1486337431.0,1,27,4,Football
1486337434.0,1,27,0,Football
1486337436.0,1,7,6,Football
1486337440.0,1,27,4,Football
1486337465.0,1,10,3,Football
1486337469.0,1,2,3,Football
1486337497.0,1,27,8,Football
1486337500.0,1,18,9,Football
1486337510.0,1,27,3,Football
1486337525.0,1,27,1,Football
1486337527.0,1,27,3,Football
1486337537.0,1,18,0,Football
1486337542.0,1,27,4,Football
1486337547.0,1,26,27,Football
1486337550.0,1,27,3,Football
1486337566.0,1,9,11,Football
1486337579.0,1,26,1,Football
1486337586.0,1,0,4,Football
1486337586.0,1,27,8,Football
1486337588.0,1,6,7,Football
1486337601.0,1,27,5,Football
1486337633.0,1,27,4,Football
1486337636.0,1,27,7,Football
1486337638.0,1,27,4,Football
1486337645.0,1,27,3,Football
1486337649.0,1,19,0,Football
1486337658.0,1,17,23,Football
1486337673.0,1,27,3,Football
1486337687.0,1,27,7,Football
1486337688.0,1,27,4,Football
1486337709.0,1,27,0,Football
1486337712.0,1,4,27,Football
1486337715.0,1,20,27,Football
1486337786.0,1,27,13,Football
1486337786.0,1,27,4,Football
1486337800.0,1,27,1,Football
1486338062.0,1,27,26,Football
1486338122.0,1,9,2,Football
1486338123.0,1,2,27,Football
1486338199.0,1,27,17,Football
1486338229.0,1,7,27,Football
1486338692.0,1,3,27,Football
1486338813.0,1,27,3,Football
1486338819.0,1,2,5,Football
1486345789.0,1,27,7,Football
1486349963.0,1,2,26,Football
1486350059.0,1,7,27,Football
1486350144.0,1,27,22,Football
1486350454.0,1,27,7,Football
1486351490.0,1,27,25,Football
1486351940.0,1,0,22,Football
1486353063.0,1,27,6,Football
1486335252.0,1,7,27,Football
1486335462.0,1,27,4,Football
1486336408.0,1,6,7,Football
1486337451.0,1,1,0,Football
1486331203.0,1,27,1,Football
1486332814.0,1,27,3,Football
1486334488.0,1,20,4,Football
1486334938.0,1,27,22,Football
1486335293.0,1,7,27,Football
1486335303.0,1,20,3,Football
1486335328.0,1,2,3,Football
1486336013.0,1,6,27,Football
1486336141.0,1,27,4,Football
1486336186.0,1,27,4,Football
1486337073.0,1,6,27,Football
1486337118.0,1,13,8,Football
1486337182.0,1,27,25,Football
1486337288.0,1,7,27,Football
1486337372.0,1,7,6,Football
1486337403.0,1,27,4,Football
1486335180.0,1,27,2,Football
1486337148.0,1,4,0,Football
1486335417.0,1,27,22,Football
1486337736.0,1,3,27,Football
1486331318.0,1,4,13,Football
1486335321.0,1,0,20,Football
1486337463.0,1,27,3,Football
1486331230.0,1,13,27,Football
1486331261.0,1,3,27,Football
1486335174.0,1,2,22,Football
1486335340.0,1,27,13,Football
1486335466.0,1,2,3,Football
1486336186.0,1,7,22,Football
1486336247.0,1,7,27,Football
1486336303.0,1,1,17,Football
1486336324.0,1,27,3,Football
1486336905.0,1,27,22,Football
1486336942.0,1,3,20,Football
1486337076.0,1,6,7,Football
1486337098.0,1,27,4,Football
1486337208.0,1,10,9,Football
1486337416.0,1,27,4,Football
1486337434.0,1,27,0,Football
1486337587.0,1,17,27,Football
1486337646.0,1,0,4,Football
1486337105.0,1,27,4,Football
1486337566.0,1,7,6,Football
1486331073.0,1,27,13,Football
1486331319.0,1,13,27,Football
1486331568.0,1,27,2,Football
1486331644.0,1,27,20,Football
1486332436.0,1,7,27,Football
1486332978.0,1,8,17,Football
1486333049.0,1,26,1,Football
1486333096.0,1,2,9,Football
1486333347.0,1,3,27,Football
1486333592.0,1,18,27,Football
1486333796.0,1,27,3,Football
1486333797.0,1,27,26,Football
1486333835.0,1,27,0,Football
1486333915.0,1,27,3,Football
1486334020.0,1,13,17,Football
1486334429.0,1,27,0,Football
1486334473.0,1,18,27,Football
1486334559.0,1,2,27,Football
1486334593.0,1,0,4,Football
1486334724.0,1,7,27,Football
1486334745.0,1,3,5,Football
1486334781.0,1,14,0,Football
1486334789.0,1,2,27,Football
1486334852.0,1,27,2,Football
1486334862.0,1,25,16,Football
1486334883.0,1,10,3,Football
1486334921.0,1,27,6,Football
1486335078.0,1,27,0,Football
1486335193.0,1,27,4,Football
1486335236.0,1,27,10,Football
1486335298.0,1,2,27,Football
1486335298.0,1,27,20,Football
1486335327.0,1,10,14,Football
1486335399.0,1,6,7,Football
1486335407.0,1,27,4,Football
1486335448.0,1,27,20,Football
1486335665.0,1,4,27,Football
1486335670.0,1,10,27,Football
1486335699.0,1,22,27,Football
1486335721.0,1,3,9,Football
1486335723.0,1,3,2,Football
1486335751.0,1,27,3,Football
1486335767.0,1,27,10,Football
1486335790.0,1,18,27,Football
1486335810.0,1,27,23,Football
1486335843.0,1,8,4,Football
1486335866.0,1,1,27,Football
1486335881.0,1,27,9,Football
1486336016.0,1,27,10,Football
1486336044.0,1,27,7,Football
1486336116.0,1,27,2,Football
1486336120.0,1,27,4,Football
1486336127.0,1,5,27,Football
1486336162.0,1,27,5,Football
1486336211.0,1,27,4,Football
1486336271.0,1,27,3,Football
1486336296.0,1,2,11,Football
1486336303.0,1,27,3,Football
1486336359.0,1,7,6,Football
1486336390.0,1,27,3,Football
1486336392.0,1,27,1,Football
1486336399.0,1,27,3,Football
1486336402.0,1,8,20,Football
1486336449.0,1,26,0,Football
1486336468.0,1,26,7,Football
1486336480.0,1,7,6,Football
1486336484.0,1,2,3,Football
1486336494.0,1,27,7,Football
1486336505.0,1,7,6,Football
1486336507.0,1,27,26,Football
1486336520.0,1,7,27,Football
1486336522.0,1,27,4,Football
1486336536.0,1,27,6,Football
1486336601.0,1,27,10,Football
1486336619.0,1,27,4,Football
1486336626.0,1,27,22,Football
1486336644.0,1,26,27,Football
1486336655.0,1,7,6,Football
1486336676.0,1,7,6,Football
1486336680.0,1,3,26,Football
1486336688.0,1,1,27,Football
1486336755.0,1,27,0,Football
1486336761.0,1,27,3,Football
1486336775.0,1,13,2,Football
1486336782.0,1,8,27,Football
1486336789.0,1,27,6,Football
1486336796.0,1,27,3,Football
1486336808.0,1,27,4,Football
1486336832.0,1,27,6,Football
1486336838.0,1,0,4,Football
1486336849.0,1,2,3,Football
1486336852.0,1,3,11,Football
1486336861.0,1,13,2,Football
1486336867.0,1,27,13,Football
1486336878.0,1,7,6,Football
1486336889.0,1,27,3,Football
1486336892.0,1,0,18,Football
1486336900.0,1,0,4,Football
1486336918.0,1,1,0,Football
1486336922.0,1,1,3,Football
1486336933.0,1,27,7,Football
1486336939.0,1,2,27,Football
1486336954.0,1,27,0,Football
1486336955.0,1,27,3,Football
1486336973.0,1,27,0,Football
1486336993.0,1,27,1,Football
1486336995.0,1,27,3,Football
1486337018.0,1,27,7,Football
1486337021.0,1,27,3,Football
1486337029.0,1,8,27,Football
1486337044.0,1,0,27,Football
1486337055.0,1,3,27,Football
1486337059.0,1,27,4,Football
1486337061.0,1,2,3,Football
1486337066.0,1,27,7,Football
1486337077.0,1,18,27,Football
1486337082.0,1,27,8,Football
1486337091.0,1,11,3,Football
1486337106.0,1,18,0,Football
1486337112.0,1,4,0,Football
1486337114.0,1,4,27,Football
1486337114.0,1,2,3,Football
1486337115.0,1,27,4,Football
1486337117.0,1,27,0,Football
1486337122.0,1,6,27,Football
1486337122.0,1,1,27,Football
1486337131.0,1,9,10,Football
1486337141.0,1,27,3,Football
1486337151.0,1,27,3,Football
1486337157.0,1,27,3,Football
1486337161.0,1,27,0,Football
1486337161.0,1,27,5,Football
1486337163.0,1,27,10,Football
1486337166.0,1,27,4,Football
1486337196.0,1,9,11,Football
1486337196.0,1,22,27,Football
1486337200.0,1,27,3,Football
1486337201.0,1,27,8,Football
1486337209.0,1,27,0,Football
1486337219.0,1,27,1,Football
1486337220.0,1,25,16,Football
1486337222.0,1,27,7,Football
1486337246.0,1,3,27,Football
1486337253.0,1,27,3,Football
1486337254.0,1,1,27,Football
1486337257.0,1,27,0,Football
1486337261.0,1,8,3,Football
1486337263.0,1,27,4,Football
1486337266.0,1,0,9,Football
1486337274.0,1,10,26,Football
1486337278.0,1,3,2,Football
1486337282.0,1,4,27,Football
1486337290.0,1,27,22,Football
1486337302.0,1,27,26,Football
1486337305.0,1,6,27,Football
1486337307.0,1,27,0,Football
1486337310.0,1,2,3,Football
1486337311.0,1,27,22,Football
1486337314.0,1,27,0,Football
1486337316.0,1,4,22,Football
1486337323.0,1,20,8,Football
1486337330.0,1,27,3,Football
1486337342.0,1,6,27,Football
1486337355.0,1,7,27,Football
1486337368.0,1,0,4,Football
1486337370.0,1,27,3,Football
1486337375.0,1,2,11,Football
1486337397.0,1,27,3,Football
1486337401.0,1,27,7,Football
1486337415.0,1,17,0,Football
1486337416.0,1,27,4,Football
1486337439.0,1,7,6,Football
1486337446.0,1,27,7,Football
1486337446.0,1,1,27,Football
1486337464.0,1,2,3,Football
1486337466.0,1,8,27,Football
1486337471.0,1,27,7,Football
1486337480.0,1,27,17,Football
1486337491.0,1,7,9,Football
1486337493.0,1,10,27,Football
1486337493.0,1,2,3,Football
1486337495.0,1,6,0,Football
1486337501.0,1,3,13,Football
1486337505.0,1,27,3,Football
1486337505.0,1,7,15,Football
1486337515.0,1,0,4,Football
1486337539.0,1,26,25,Football
1486337541.0,1,20,17,Football
1486337547.0,1,13,27,Football
1486337555.0,1,27,4,Football
1486337567.0,1,3,10,Football
1486337570.0,1,27,6,Football
1486337571.0,1,13,26,Football
1486337573.0,1,8,27,Football
1486337576.0,1,7,27,Football
1486337586.0,1,27,24,Football
1486337587.0,1,26,9,Football
1486337587.0,1,18,27,Football
1486337587.0,1,27,4,Football
1486337596.0,1,27,22,Football
1486337616.0,1,9,10,Football
1486337639.0,1,7,27,Football
1486337643.0,1,27,3,Football
1486337643.0,1,25,16,Football
1486337663.0,1,0,4,Football
1486337673.0,1,7,27,Football
1486337679.0,1,4,27,Football
1486337692.0,1,27,7,Football
1486337701.0,1,7,27,Football
1486337719.0,1,10,27,Football
1486337764.0,1,3,2,Football
