time,phase,predicted_emotion,predicted_emotion_2nd,sport,category
1486337133,1,27,4,Football,1N
1486337418,1,27,10,Football,1N
1486337432,1,27,6,Football,1N
1486337590,1,1,3,Football,1F
1486337657,1,27,3,Football,1N
1486337788,1,27,9,Football,1N
1486332277,1,27,0,Football,1N
1486336463,1,27,3,Football,1N
1486337201,1,4,27,Football,1F
1486331614,1,27,17,Football,1N
1486333754,1,27,6,Football,1N
1486337034,1,27,3,Football,1F
1486332729,1,22,27,Football,1N
1486333538,1,15,27,Football,1F
1486334751,1,11,27,Football,1N
1486334814,1,27,7,Football,1N
1486334845,1,12,27,Football,1N
1486335235,1,27,3,Football,1N
1486335277,1,3,2,Football,1N
1486335528,1,0,18,Football,1N
1486335728,1,7,6,Football,1N
1486335837,1,9,22,Football,1U
1486336146,1,22,27,Football,1N
1486336220,1,3,27,Football,1F
1486336431,1,27,25,Football,1F
1486336494,1,27,3,Football,1N
1486336774,1,3,7,Football,1F
1486337048,1,26,27,Football,1N
1486337065,1,27,3,Football,1N
1486337068,1,27,4,Football,1U
1486337090,1,2,10,Football,1N
1486337099,1,27,25,Football,1N
1486337099,1,1,17,Football,1N
1486337123,1,4,0,Football,1N
1486337128,1,7,26,Football,1N
1486337129,1,1,27,Football,1N
1486337136,1,27,15,Football,1N
1486337159,1,0,27,Football,1N
1486337193,1,7,27,Football,1N
1486337204,1,3,9,Football,1N
1486337218,1,5,20,Football,1N
1486337268,1,8,20,Football,1N
1486337274,1,0,27,Football,1N
1486337283,1,2,6,Football,1N
1486337353,1,0,9,Football,1N
1486337355,1,0,26,Football,1N
1486337424,1,4,27,Football,1F
1486337448,1,7,6,Football,1N
1486337465,1,27,4,Football,1N
1486337524,1,27,4,Football,1N
1486337544,1,27,0,Football,1N
1486337570,1,27,3,Football,1N
1486337605,1,27,17,Football,1N
1486337608,1,27,22,Football,1N
1486337643,1,27,20,Football,1N
1486337774,1,7,27,Football,1N
1486337835,1,15,23,Football,1N
1486338533,1,13,0,Football,1N
1486338866,1,3,4,Football,1N
1486333981,1,27,22,Football,1N
1486336000,1,27,3,Football,1U
1486337116,1,10,27,Football,1N
1486337432,1,20,8,Football,1N
1486336484,1,27,4,Football,1N
1486337430,1,0,4,Football,1N
1486337434,1,27,10,Football,1N
1486337679,1,27,7,Football,1N
1486331440,1,27,4,Football,1U
1486332658,1,27,22,Football,1N
1486334125,1,27,3,Football,1N
1486334308,1,27,3,Football,1N
1486334382,1,27,4,Football,1N
1486334477,1,27,7,Football,1N
1486334769,1,2,27,Football,1N
1486334777,1,27,9,Football,1N
1486334788,1,3,13,Football,1N
1486334865,1,1,17,Football,1F
1486334996,1,27,22,Football,1U
1486335232,1,6,7,Football,1N
1486335299,1,10,9,Football,1N
1486335552,1,26,13,Football,1N
1486335666,1,0,26,Football,1N
1486335847,1,27,4,Football,1N
1486335848,1,0,4,Football,1N
1486335884,1,1,27,Football,1F
1486335963,1,2,3,Football,1N
1486335973,1,27,25,Football,1N
1486336094,1,27,0,Football,1N
1486336111,1,0,17,Football,1N
1486336325,1,7,13,Football,1N
1486336333,1,7,6,Football,1N
1486336369,1,2,11,Football,1N
1486336391,1,27,25,Football,1U
1486336403,1,1,27,Football,1N
1486336408,1,4,27,Football,1N
1486336450,1,7,27,Football,1N
1486336463,1,2,27,Football,1N
1486336500,1,0,27,Football,1N
1486336539,1,7,6,Football,1F
1486336557,1,27,22,Football,1N
1486336606,1,22,26,Football,1N
1486336667,1,27,7,Football,1N
1486336673,1,7,8,Football,1N
1486336728,1,27,1,Football,1N
1486336759,1,7,26,Football,1F
1486336774,1,9,25,Football,1U
1486336785,1,27,8,Football,1N
1486336833,1,20,13,Football,1N
1486336885,1,0,2,Football,1N
1486336902,1,7,8,Football,1N
1486336906,1,3,11,Football,1N
1486336936,1,17,0,Football,1N
1486337004,1,27,7,Football,1N
1486337008,1,27,22,Football,1N
1486337048,1,27,7,Football,1N
1486337057,1,8,20,Football,1F
1486337075,1,6,27,Football,1N
1486337105,1,0,27,Football,1N
1486337131,1,3,27,Football,1N
1486337159,1,8,9,Football,1N
1486337165,1,27,9,Football,1N
1486337294,1,10,3,Football,1N
1486337300,1,27,0,Football,1N
1486337305,1,27,7,Football,1N
1486337351,1,27,20,Football,1N
1486337367,1,7,6,Football,1N
1486337382,1,27,9,Football,1N
1486337390,1,27,22,Football,1N
1486337411,1,6,27,Football,1N
1486337432,1,27,22,Football,1N
1486337440,1,7,27,Football,1N
1486337442,1,27,15,Football,1N
1486337496,1,4,7,Football,1N
1486337501,1,9,25,Football,1N
1486337529,1,1,3,Football,1N
1486337532,1,2,3,Football,1N
1486337549,1,0,4,Football,1F
1486337632,1,27,20,Football,1N
1486337668,1,27,7,Football,1N
1486337692,1,27,3,Football,1N
1486337692,1,27,4,Football,1N
1486337694,1,27,26,Football,1N
1486337731,1,0,13,Football,1N
1486337771,1,0,3,Football,1N
1486338053,1,9,27,Football,1N
1486338220,1,1,27,Football,1N
1486349585,1,27,4,Football,1N
1486336470,1,27,0,Football,1N
1486337608,1,27,0,Football,1N
1486333447,1,27,0,Football,1N
1486335386,1,27,3,Football,1N
1486331533,1,3,20,Football,1N
1486337268,1,15,3,Football,1N
1486337471,1,27,22,Football,1N
1486331252,1,27,6,Football,1F
1486337065,1,27,26,Football,1N
1486337519,1,25,1,Football,1N
1486337706,1,27,3,Football,1N
1486337743,1,0,17,Football,1N
1486335449,1,3,2,Football,1N
1486337439,1,3,27,Football,1N
1486332613,1,6,7,Football,1F
1486333443,1,27,3,Football,1N
1486333528,1,18,0,Football,1U
1486333560,1,2,10,Football,1F
1486333752,1,27,4,Football,1F
1486334209,1,7,6,Football,1N
1486334438,1,7,26,Football,1N
1486334483,1,27,22,Football,1N
1486334696,1,27,10,Football,1N
1486334717,1,27,3,Football,1N
1486334768,1,4,17,Football,1N
1486334782,1,8,13,Football,1N
1486334836,1,11,27,Football,1N
1486334885,1,0,17,Football,1N
1486334981,1,27,20,Football,1N
1486335053,1,27,0,Football,1N
1486335160,1,27,7,Football,1N
1486335244,1,27,7,Football,1F
1486335307,1,1,17,Football,1F
1486335403,1,27,4,Football,1N
1486335679,1,27,3,Football,1F
1486335683,1,3,11,Football,1N
1486335795,1,18,25,Football,1N
1486335799,1,27,4,Football,1U
1486335846,1,27,7,Football,1F
1486335915,1,2,3,Football,1F
1486335978,1,7,27,Football,1N
1486336018,1,27,7,Football,1N
1486336051,1,27,3,Football,1N
1486336060,1,0,18,Football,1N
1486336191,1,0,27,Football,1N
1486336229,1,9,27,Football,1N
1486336308,1,27,7,Football,1N
1486336393,1,27,0,Football,1N
1486336433,1,0,3,Football,1N
1486336520,1,0,18,Football,1N
1486336555,1,6,27,Football,1N
1486336631,1,27,10,Football,1N
1486336652,1,27,4,Football,1N
1486336658,1,18,4,Football,1N
1486336713,1,22,27,Football,1N
1486336723,1,3,9,Football,1N
1486336736,1,27,0,Football,1N
1486336738,1,27,6,Football,1N
1486336743,1,1,27,Football,1N
1486336780,1,1,27,Football,1N
1486336798,1,27,13,Football,1N
1486336803,1,20,5,Football,1N
1486336809,1,3,27,Football,1N
1486336812,1,27,6,Football,1N
1486336819,1,26,2,Football,1N
1486336831,1,27,3,Football,1N
1486336861,1,27,3,Football,1N
1486336874,1,27,4,Football,1N
1486336875,1,27,3,Football,1N
1486337042,1,27,6,Football,1N
1486337064,1,1,3,Football,1N
1486337078,1,27,3,Football,1N
1486337093,1,27,4,Football,1N
1486337094,1,10,3,Football,1N
1486337117,1,27,0,Football,1N
1486337119,1,27,4,Football,1N
1486337151,1,1,27,Football,1N
1486337159,1,27,0,Football,1N
1486337163,1,7,2,Football,1U
1486337183,1,27,13,Football,1N
1486337227,1,27,7,Football,1N
1486337242,1,27,10,Football,1U
1486337298,1,4,0,Football,1N
1486337309,1,27,13,Football,1N
1486337319,1,11,27,Football,1N
1486337330,1,27,20,Football,1N
1486337349,1,27,11,Football,1N
1486337370,1,7,27,Football,1N
1486337382,1,22,9,Football,1N
1486337423,1,27,13,Football,1N
1486337425,1,27,4,Football,1N
1486337438,1,3,2,Football,1N
1486337439,1,7,27,Football,1N
1486337442,1,27,3,Football,1N
1486337511,1,3,2,Football,1N
1486337524,1,25,9,Football,1N
1486337549,1,27,4,Football,1F
1486337553,1,7,27,Football,1N
1486337576,1,27,3,Football,1N
1486337576,1,27,7,Football,1N
1486337585,1,2,3,Football,1N
1486337604,1,3,5,Football,1N
1486337650,1,2,3,Football,1N
1486337655,1,0,3,Football,1N
1486337682,1,17,0,Football,1N
1486337688,1,27,6,Football,1N
1486337697,1,14,19,Football,1N
1486337701,1,27,20,Football,1N
1486337704,1,2,11,Football,1N
1486337719,1,27,2,Football,1N
1486337719,1,27,3,Football,1N
1486337778,1,6,27,Football,1N
1486338083,1,20,27,Football,1U
1486338165,1,27,4,Football,1N
1486338177,1,27,3,Football,1N
1486338570,1,3,2,Football,1N
1486350815,1,13,27,Football,1N
1486353496,1,27,15,Football,1N
1486335448,1,4,27,Football,1N
1486335503,1,8,27,Football,1N
1486335586,1,0,22,Football,1N
1486336463,1,2,11,Football,1N
1486337094,1,27,4,Football,1N
1486337437,1,27,3,Football,1N
1486331722,1,13,18,Football,1N
1486335400,1,18,17,Football,1N
1486337495,1,3,27,Football,1N
1486331407,1,27,17,Football,1N
1486335262,1,3,2,Football,1N
1486337417,1,3,2,Football,1N
1486337396,1,10,27,Football,1N
1486337456,1,27,7,Football,1N
1486337126,1,11,9,Football,1F
1486331528,1,27,4,Football,1N
1486333786,1,7,27,Football,1N
1486334022,1,27,7,Football,1N
1486335206,1,0,27,Football,1N
1486335217,1,3,9,Football,1N
1486335296,1,27,0,Football,1N
1486336521,1,3,9,Football,1N
1486337175,1,27,4,Football,1N
1486337451,1,27,6,Football,1N
1486337713,1,3,27,Football,1N
1486337125,1,11,2,Football,1N
1486331141,1,27,3,Football,1N
1486331762,1,6,22,Football,1N
1486332260,1,0,26,Football,1N
1486332315,1,20,4,Football,1N
1486332370,1,27,22,Football,1N
1486333368,1,27,13,Football,1N
1486333769,1,3,27,Football,1N
1486333797,1,27,9,Football,1F
1486334357,1,3,27,Football,1N
1486334612,1,27,0,Football,1N
1486334686,1,9,0,Football,1U
1486334718,1,27,4,Football,1N
1486334727,1,3,2,Football,1F
1486334747,1,7,8,Football,1N
1486334779,1,27,2,Football,1N
1486334909,1,11,10,Football,1N
1486334941,1,7,27,Football,1N
1486334947,1,17,13,Football,1N
1486335030,1,9,22,Football,1N
1486335033,1,11,27,Football,1N
1486335040,1,27,13,Football,1N
1486335138,1,20,4,Football,1N
1486335189,1,27,22,Football,1N
1486335229,1,27,26,Football,1N
1486335317,1,27,26,Football,1N
1486335386,1,2,13,Football,1U
1486335614,1,27,4,Football,1N
1486335659,1,27,3,Football,1N
1486335663,1,27,0,Football,1N
1486335683,1,27,0,Football,1F
1486335687,1,27,3,Football,1N
1486335687,1,22,27,Football,1N
1486335697,1,27,4,Football,1N
1486335723,1,25,9,Football,1N
1486335779,1,27,4,Football,1U
1486335810,1,18,13,Football,1N
1486335822,1,27,3,Football,1N
1486335855,1,7,6,Football,1N
1486335885,1,7,27,Football,1N
1486335906,1,27,20,Football,1N
1486335911,1,27,4,Football,1N
1486335925,1,27,4,Football,1N
1486336056,1,1,3,Football,1N
1486336077,1,27,7,Football,1N
1486336099,1,27,11,Football,1N
1486336223,1,2,27,Football,1N
1486336271,1,25,26,Football,1U
1486336282,1,27,4,Football,1N
1486336314,1,7,26,Football,1N
1486336402,1,27,17,Football,1N
1486336408,1,2,3,Football,1N
1486336417,1,27,4,Football,1N
1486336450,1,17,13,Football,1N
1486336482,1,7,6,Football,1N
1486336505,1,3,23,Football,1N
1486336545,1,27,7,Football,1N
1486336594,1,2,11,Football,1N
1486336635,1,11,3,Football,1N
1486336640,1,27,1,Football,1F
1486336642,1,27,20,Football,1N
1486336643,1,27,26,Football,1N
1486336664,1,27,3,Football,1N
1486336668,1,27,13,Football,1F
1486336686,1,27,4,Football,1N
1486336720,1,6,7,Football,1N
1486336723,1,3,9,Football,1F
1486336728,1,27,4,Football,1F
1486336747,1,18,0,Football,1N
1486336761,1,27,0,Football,1N
1486336778,1,27,7,Football,1N
1486336779,1,27,13,Football,1N
1486336790,1,7,27,Football,1F
1486336792,1,6,10,Football,1N
1486336796,1,27,2,Football,1N
1486336802,1,2,3,Football,1N
1486336817,1,4,27,Football,1N
1486336845,1,2,11,Football,1N
1486336878,1,10,0,Football,1N
1486336924,1,27,0,Football,1N
1486336940,1,7,26,Football,1N
1486336954,1,27,2,Football,1N
1486337006,1,27,3,Football,1F
1486337024,1,7,27,Football,1N
1486337025,1,27,6,Football,1N
1486337029,1,7,6,Football,1F
1486337038,1,27,20,Football,1N
1486337049,1,27,11,Football,1N
1486337055,1,27,20,Football,1N
1486337103,1,17,27,Football,1N
1486337107,1,27,10,Football,1N
1486337108,1,27,7,Football,1F
1486337113,1,27,26,Football,1N
1486337124,1,27,4,Football,1N
1486337125,1,27,0,Football,1N
1486337132,1,10,9,Football,1F
1486337145,1,27,13,Football,1N
1486337147,1,1,27,Football,1N
1486337151,1,27,3,Football,1N
1486337162,1,7,3,Football,1F
1486337163,1,4,0,Football,1N
1486337178,1,27,4,Football,1U
1486337181,1,27,4,Football,1N
1486337186,1,3,2,Football,1N
1486337187,1,27,3,Football,1N
1486337190,1,4,27,Football,1N
1486337194,1,27,17,Football,1N
1486337203,1,7,27,Football,1N
1486337206,1,27,25,Football,1F
1486337217,1,27,4,Football,1N
1486337217,1,27,4,Football,1N
1486337220,1,27,4,Football,1N
1486337242,1,25,9,Football,1N
1486337245,1,0,20,Football,1N
1486337250,1,27,0,Football,1N
1486337259,1,15,20,Football,1N
1486337267,1,0,17,Football,1N
1486337267,1,27,4,Football,1N
1486337268,1,0,4,Football,1N
1486337270,1,27,17,Football,1N
1486337289,1,2,27,Football,1N
1486337290,1,4,27,Football,1N
1486337290,1,0,4,Football,1N
1486337296,1,27,4,Football,1N
1486337304,1,0,4,Football,1N
1486337309,1,7,27,Football,1N
1486337311,1,22,9,Football,1N
1486337319,1,27,4,Football,1N
1486337331,1,27,0,Football,1N
1486337334,1,27,13,Football,1N
1486337357,1,2,3,Football,1U
1486337364,1,27,3,Football,1N
1486337426,1,3,2,Football,1N
1486337431,1,27,4,Football,1N
1486337434,1,27,0,Football,1N
1486337436,1,7,6,Football,1N
1486337440,1,27,4,Football,1N
1486337465,1,10,3,Football,1N
1486337469,1,2,3,Football,1N
1486337497,1,27,8,Football,1N
1486337500,1,18,9,Football,1N
1486337510,1,27,3,Football,1N
1486337525,1,27,1,Football,1N
1486337527,1,27,3,Football,1F
1486337537,1,18,0,Football,1N
1486337542,1,27,4,Football,1N
1486337547,1,26,27,Football,1N
1486337550,1,27,3,Football,1N
1486337566,1,9,11,Football,1N
1486337579,1,26,1,Football,1F
1486337586,1,0,4,Football,1N
1486337586,1,27,8,Football,1N
1486337588,1,6,7,Football,1N
1486337601,1,27,5,Football,1N
1486337633,1,27,4,Football,1F
1486337636,1,27,7,Football,1N
1486337638,1,27,4,Football,1N
1486337645,1,27,3,Football,1N
1486337649,1,19,0,Football,1N
1486337658,1,17,23,Football,1N
1486337673,1,27,3,Football,1N
1486337687,1,27,7,Football,1N
1486337688,1,27,4,Football,1N
1486337709,1,27,0,Football,1F
1486337712,1,4,27,Football,1N
1486337715,1,20,27,Football,1N
1486337786,1,27,13,Football,1N
1486337786,1,27,4,Football,1N
1486337800,1,27,1,Football,1N
1486338062,1,27,26,Football,1N
1486338122,1,9,2,Football,1F
1486338123,1,2,27,Football,1N
1486338199,1,27,17,Football,1N
1486338229,1,7,27,Football,1N
1486338692,1,3,27,Football,1N
1486338813,1,27,3,Football,1N
1486338819,1,2,5,Football,1N
1486345789,1,27,7,Football,1U
1486349963,1,2,26,Football,1N
1486350059,1,7,27,Football,1N
1486350144,1,27,22,Football,1N
1486350454,1,27,7,Football,1N
1486351490,1,27,25,Football,1N
1486351940,1,0,22,Football,1N
1486353063,1,27,6,Football,1N
1486335252,1,7,27,Football,1N
1486335462,1,27,4,Football,1N
1486336408,1,6,7,Football,1N
1486337451,1,1,0,Football,1N
1486331203,1,27,1,Football,1N
1486332814,1,27,3,Football,1N
1486334488,1,20,4,Football,1N
1486334938,1,27,22,Football,1N
1486335293,1,7,27,Football,1N
1486335303,1,20,3,Football,1N
1486335328,1,2,3,Football,1N
1486336013,1,6,27,Football,1N
1486336141,1,27,4,Football,1N
1486336186,1,27,4,Football,1N
1486337073,1,6,27,Football,1N
1486337118,1,13,8,Football,1N
1486337182,1,27,25,Football,1N
1486337288,1,7,27,Football,1N
1486337372,1,7,6,Football,1F
1486337403,1,27,4,Football,1N
1486335180,1,27,2,Football,1N
1486337148,1,4,0,Football,1N
1486335417,1,27,22,Football,1N
1486337736,1,3,27,Football,1N
1486331318,1,4,13,Football,1N
1486335321,1,0,20,Football,1N
1486337463,1,27,3,Football,1F
1486331230,1,13,27,Football,1N
1486331261,1,3,27,Football,1F
1486335174,1,2,22,Football,1U
1486335340,1,27,13,Football,1N
1486335466,1,2,3,Football,1N
1486336186,1,7,22,Football,1F
1486336247,1,7,27,Football,1N
1486336303,1,1,17,Football,1U
1486336324,1,27,3,Football,1N
1486336905,1,27,22,Football,1N
1486336942,1,3,20,Football,1N
1486337076,1,6,7,Football,1N
1486337098,1,27,4,Football,1N
1486337208,1,10,9,Football,1N
1486337416,1,27,4,Football,1F
1486337434,1,27,0,Football,1N
1486337587,1,17,27,Football,1N
1486337646,1,0,4,Football,1N
1486337105,1,27,4,Football,1N
1486337566,1,7,6,Football,1N
1486331073,1,27,13,Football,1N
1486331319,1,13,27,Football,1U
1486331568,1,27,2,Football,1F
1486331644,1,27,20,Football,1N
1486332436,1,7,27,Football,1N
1486332978,1,8,17,Football,1N
1486333049,1,26,1,Football,1N
1486333096,1,2,9,Football,1N
1486333347,1,3,27,Football,1N
1486333592,1,18,27,Football,1N
1486333796,1,27,3,Football,1N
1486333797,1,27,26,Football,1N
1486333835,1,27,0,Football,1N
1486333915,1,27,3,Football,1N
1486334020,1,13,17,Football,1N
1486334429,1,27,0,Football,1N
1486334473,1,18,27,Football,1F
1486334559,1,2,27,Football,1N
1486334593,1,0,4,Football,1N
1486334724,1,7,27,Football,1N
1486334745,1,3,5,Football,1N
1486334781,1,14,0,Football,1N
1486334789,1,2,27,Football,1N
1486334852,1,27,2,Football,1N
1486334862,1,25,16,Football,1N
1486334883,1,10,3,Football,1N
1486334921,1,27,6,Football,1N
1486335078,1,27,0,Football,1N
1486335193,1,27,4,Football,1N
1486335236,1,27,10,Football,1N
1486335298,1,2,27,Football,1N
1486335298,1,27,20,Football,1N
1486335327,1,10,14,Football,1N
1486335399,1,6,7,Football,1N
1486335407,1,27,4,Football,1N
1486335448,1,27,20,Football,1N
1486335665,1,4,27,Football,1N
1486335670,1,10,27,Football,1N
1486335699,1,22,27,Football,1F
1486335721,1,3,9,Football,1N
1486335723,1,3,2,Football,1F
1486335751,1,27,3,Football,1N
1486335767,1,27,10,Football,1N
1486335790,1,18,27,Football,1N
1486335810,1,27,23,Football,1N
1486335843,1,8,4,Football,1F
1486335866,1,1,27,Football,1N
1486335881,1,27,9,Football,1F
1486336016,1,27,10,Football,1N
1486336044,1,27,7,Football,1N
1486336116,1,27,2,Football,1N
1486336120,1,27,4,Football,1N
1486336127,1,5,27,Football,1N
1486336162,1,27,5,Football,1N
1486336211,1,27,4,Football,1N
1486336271,1,27,3,Football,1N
1486336296,1,2,11,Football,1N
1486336303,1,27,3,Football,1N
1486336359,1,7,6,Football,1N
1486336390,1,27,3,Football,1N
1486336392,1,27,1,Football,1N
1486336399,1,27,3,Football,1F
1486336402,1,8,20,Football,1N
1486336449,1,26,0,Football,1N
1486336468,1,26,7,Football,1N
1486336480,1,7,6,Football,1N
1486336484,1,2,3,Football,1U
1486336494,1,27,7,Football,1N
1486336505,1,7,6,Football,1N
1486336507,1,27,26,Football,1N
1486336520,1,7,27,Football,1N
1486336522,1,27,4,Football,1N
1486336536,1,27,6,Football,1N
1486336601,1,27,10,Football,1N
1486336619,1,27,4,Football,1N
1486336626,1,27,22,Football,1N
1486336644,1,26,27,Football,1N
1486336655,1,7,6,Football,1N
1486336676,1,7,6,Football,1N
1486336680,1,3,26,Football,1N
1486336688,1,1,27,Football,1N
1486336755,1,27,0,Football,1N
1486336761,1,27,3,Football,1N
1486336775,1,13,2,Football,1N
1486336782,1,8,27,Football,1N
1486336789,1,27,6,Football,1N
1486336796,1,27,3,Football,1N
1486336808,1,27,4,Football,1N
1486336832,1,27,6,Football,1N
1486336838,1,0,4,Football,1N
1486336849,1,2,3,Football,1N
1486336852,1,3,11,Football,1N
1486336861,1,13,2,Football,1N
1486336867,1,27,13,Football,1F
1486336878,1,7,6,Football,1N
1486336889,1,27,3,Football,1N
1486336892,1,0,18,Football,1F
1486336900,1,0,4,Football,1N
1486336918,1,1,0,Football,1N
1486336922,1,1,3,Football,1U
1486336933,1,27,7,Football,1N
1486336939,1,2,27,Football,1N
1486336954,1,27,0,Football,1N
1486336955,1,27,3,Football,1N
1486336973,1,27,0,Football,1N
1486336993,1,27,1,Football,1N
1486336995,1,27,3,Football,1N
1486337018,1,27,7,Football,1N
1486337021,1,27,3,Football,1N
1486337029,1,8,27,Football,1N
1486337044,1,0,27,Football,1N
1486337055,1,3,27,Football,1N
1486337059,1,27,4,Football,1N
1486337061,1,2,3,Football,1N
1486337066,1,27,7,Football,1N
1486337077,1,18,27,Football,1N
1486337082,1,27,8,Football,1N
1486337091,1,11,3,Football,1N
1486337106,1,18,0,Football,1F
1486337112,1,4,0,Football,1N
1486337114,1,4,27,Football,1N
1486337114,1,2,3,Football,1N
1486337115,1,27,4,Football,1N
1486337117,1,27,0,Football,1N
1486337122,1,6,27,Football,1N
1486337122,1,1,27,Football,1N
1486337131,1,9,10,Football,1N
1486337141,1,27,3,Football,1N
1486337151,1,27,3,Football,1N
1486337157,1,27,3,Football,1N
1486337161,1,27,0,Football,1N
1486337161,1,27,5,Football,1N
1486337163,1,27,10,Football,1N
1486337166,1,27,4,Football,1N
1486337196,1,9,11,Football,1N
1486337196,1,22,27,Football,1N
1486337200,1,27,3,Football,1N
1486337201,1,27,8,Football,1N
1486337209,1,27,0,Football,1N
1486337219,1,27,1,Football,1N
1486337220,1,25,16,Football,1N
1486337222,1,27,7,Football,1N
1486337246,1,3,27,Football,1N
1486337253,1,27,3,Football,1N
1486337254,1,1,27,Football,1N
1486337257,1,27,0,Football,1N
1486337261,1,8,3,Football,1N
1486337263,1,27,4,Football,1N
1486337266,1,0,9,Football,1N
1486337274,1,10,26,Football,1N
1486337278,1,3,2,Football,1F
1486337282,1,4,27,Football,1N
1486337290,1,27,22,Football,1N
1486337302,1,27,26,Football,1F
1486337305,1,6,27,Football,1N
1486337307,1,27,0,Football,1F
1486337310,1,2,3,Football,1F
1486337311,1,27,22,Football,1N
1486337314,1,27,0,Football,1N
1486337316,1,4,22,Football,1N
